AnnotSV ID	AnnotSV type	Genes	AnnotSV ranking	Ranking decision
14_20253739_20376267_DEL_1	full	OR4K2/OR4K3/OR4N2	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
14_20253739_20376267_DEL_1	split	OR4K2	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
14_20253739_20376267_DEL_1	split	OR4K3	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
14_20253739_20376267_DEL_1	split	OR4N2	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
14_106665119_106763946_DEL_1	full	LINC00226	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
14_106665119_106763946_DEL_1	split	LINC00226	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	full	CXADRP2/FAM30C/GOLGA6L6/GOLGA8CP/HERC2P3/IGHV1OR15-1/IGHV1OR15-3/LINC01193/LINC02203/LOC101927079/LOC102723534/LOC102724760/LOC105369274/LOC642131/LOC646214/MIR3118-2/MIR3118-3/MIR3118-4/MIR5701-1/MIR5701-2/MIR5701-3/NBEAP1/NF1P2/OR4M2/OR4N3P/OR4N4/POTEB/POTEB2/POTEB3	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	CXADRP2	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	FAM30C	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	GOLGA6L6	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	GOLGA8CP	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	HERC2P3	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	IGHV1OR15-1	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	IGHV1OR15-3	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	LINC01193	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	LINC02203	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	LOC101927079	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	LOC102723534	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	LOC102724760	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	LOC105369274	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	LOC642131	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	LOC646214	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	MIR3118-2	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	MIR3118-3	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
15_20575646_22509254_DEL_1	split	MIR3118-4	1	> 70% SV overlapped with a frequent SV + doesn't contain CDS from i) a morbid gene, ii) a morbid gene candidate and iii) a candidate gene
